Counties,Units Sold 2023,Units Sold 2022,Units Sold % Chg,Average Price 2023,Average Price 2022,Price % Chg,Median Price 2023,Median Price 2022,Median  % Chg,Med Days Market 2023,Med Days Market 2022
Allegany County,679,786,-14%,144671,143403,1%,130000,125000,4%,16,17
Anne Arundel County,7013,9214,-24%,563516,531520,6%,470000,440448,7%,7,6
Baltimore City,8167,9905,-18%,248767,256875,-3%,215000,222500,-3%,15,14
Baltimore County,8463,10498,-19%,393962,376608,5%,332000,320000,4%,7,7
Calvert County,1144,1539,-26%,482633,470219,3%,425000,420000,1%,11,8
Caroline County,303,418,-28%,316607,294154,8%,299000,285000,5%,22,18
Carroll County,1744,2316,-25%,479454,454604,6%,430656,415000,4%,7,6
Cecil County,1070,1472,-27%,375466,334277,12%,336875,306295,10%,7,7
Charles County,2471,2959,-17%,450710,442257,2%,428990,415000,3%,12,8
Dorchester County,545,609,-11%,303467,296597,2%,259995,254000,2%,22,19
Frederick County,3676,4941,-26%,498154,488091,2%,456299,451211,1%,6,6
Garrett County,466,534,-13%,637611,551479,16%,425000,405000,5%,25,14
Harford County,2751,3610,-24%,398063,380098,5%,365000,345000,6%,6,6
Howard County,3365,4237,-21%,623246,590526,6%,560000,520000,8%,6,6
Kent County,308,317,-3%,401728,410288,-2%,309990,308950,0%,18,12
Montgomery County,9251,12102,-24%,711104,690155,3%,580000,555000,5%,7,7
Prince George's County,8512,10291,-17%,434471,421316,3%,420000,400000,5%,12,10
Queen Anne's County,807,879,-8%,560790,550807,2%,500000,449950,11%,12,11
Somerset County,262,344,-24%,196679,212199,-7%,174900,191500,-9%,28,24
St. Mary's County,1385,1740,-20%,417271,399530,4%,389900,375000,4%,10,9
Talbot County,505,646,-22%,790417,693912,14%,474950,419000,13%,12,11
Washington County,1695,2043,-17%,322818,304290,6%,302500,280000,8%,11,10
Wicomico County,1059,1309,-19%,270277,260007,4%,250500,245000,2%,12,11
Worcester County,1924,2258,-15%,476852,439993,8%,410000,385000,7%,14,10
