Counties,Units Sold 2017,Units Sold 2016,Units Sold % Chg,Average Price 2017,Average Price 2016,Price % Chg,Median Price 2017,Median Price 2016,Median  % Chg,Med Days Market 2017,Med Days Market 2016
Allegany County,648,571,14%,97097,96286,1%,85000,84900,0%,79,82
Anne Arundel County,9060,8938,1%,386316,369780,5%,330000,318000,4%,28,35
Baltimore City,9379,8537,10%,180785,172429,5%,141000,135000,4%,32,37
Baltimore County,10890,10727,2%,275893,262855,5%,233000,223500,4%,26,31
Calvert County,1737,1669,4%,338544,313830,8%,315000,286013,10%,40,49
Caroline County,390,382,2%,179998,167711,7%,176000,165000,7%,61,64
Carroll County,2382,2493,-5%,328715,313141,5%,309998,296000,5%,24,33
Cecil County,1412,1339,6%,227371,216604,5%,219000,199999,10%,44,52
Charles County,2832,2660,7%,295701,281123,5%,285000,270000,6%,24,35
Dorchester County,419,451,-7%,181483,164247,11%,150000,140000,7%,75,56
Frederick County,4497,4164,8%,322778,303453,6%,305000,280000,9%,22,33
Garrett County,496,469,6%,368860,299765,23%,285000,215000,33%,78,93
Harford County,3831,3772,2%,273315,264334,3%,249000,240000,4%,27,37
Howard County,4583,4554,1%,445808,434384,3%,410000,396000,4%,20,25
Kent County,334,326,3%,260472,251150,4%,220000,200000,10%,74,93
Montgomery County,12802,12865,-1%,522213,505003,3%,420000,409500,3%,18,23
Prince George's County,11028,10322,7%,289587,266947,9%,280000,258000,9%,20,22
Queen Anne's County,931,860,8%,364340,355763,2%,316500,305000,4%,45,63
Somerset County,218,233,-6%,122903,116013,6%,109900,79000,39%,80,91
St. Mary's County,1664,1527,9%,288713,278823,4%,274900,266500,3%,41,50
Talbot County,704,630,12%,460055,406660,13%,311875,284500,10%,53,74
Washington County,1784,1784,0%,199209,188092,6%,183000,173500,6%,37,47
Wicomico County,1255,1156,9%,161207,151027,7%,152000,147500,3%,43,60
Worcester County,2424,2160,12%,274495,261507,5%,240000,226500,6%,60,75
