Counties,Units Sold 2021,Units Sold 2020,Units Sold % Chg,Average Price 2021,Average Price 2020,Price % Chg,Median Price 2021,Median Price 2020,Median  % Chg,Med Days Market 2021,Med Days Market 2020
Allegany County,858,769,12%,141798,125067,13%,126350,115000,10%,18,30
Anne Arundel County,12211,11316,8%,493502,450782,10%,418000,383000,9%,6,10
Baltimore City,11724,9877,19%,239907,206655,16%,210000,179600,17%,12,22
Baltimore County,12845,11713,10%,350121,320260,9%,295561,269900,10%,7,10
Calvert County,2176,2027,7%,434914,397638,9%,389450,359000,9%,7,12
Caroline County,509,444,15%,275097,226367,22%,255000,225000,13%,13,27
Carroll County,2848,2825,1%,417470,380922,10%,390000,355000,10%,6,9
Cecil County,1701,1626,5%,306860,278224,10%,286500,257243,11%,6,11
Charles County,3873,3442,13%,407340,357188,14%,388000,345000,13%,7,9
Dorchester County,633,527,20%,291003,239512,22%,237000,195000,22%,16,41
Frederick County,6169,5588,10%,440540,382082,15%,410000,357500,15%,6,8
Garrett County,733,708,4%,544991,436946,25%,400000,325000,23%,11,55
Harford County,4749,4675,2%,355442,322126,10%,317750,295000,8%,6,7
Howard County,5335,4723,13%,543941,493944,10%,480000,450000,7%,6,8
Kent County,498,433,15%,398605,332523,20%,269000,252500,7%,11,41
Montgomery County,15671,13533,16%,647058,589243,10%,530000,482500,10%,7,8
Prince George's County,12562,11424,10%,394147,357299,10%,380000,346000,10%,8,9
Queen Anne's County,1207,1192,1%,512047,488977,5%,410000,385000,7%,10,27
Somerset County,353,241,47%,191601,159532,20%,179000,154400,16%,23,49
St. Mary's County,2214,2122,4%,371212,336908,10%,345000,320000,8%,7,10
Talbot County,842,895,-6%,722619,640328,13%,415000,399950,4%,13,40
Washington County,2358,2070,14%,275583,245323,12%,250000,230000,9%,9,18
Wicomico County,1565,1330,18%,232339,206589,13%,217000,189900,14%,10,20
Worcester County,3170,3137,1%,397576,323153,23%,339900,280000,21%,8,25
